id;url;titolo;consultato_il;metodo;data_documento;conferma_diretta
"V76-SRC-025";"https://viterbo.ospedaliere.it/servizi-per-il-paziente/stpit-struttura-per-trattamenti-psichiatrici-intensivi-territoriali/";"Fonte V7.6 · https://viterbo.ospedaliere.it/servizi-per-il-paziente/stpit-struttura-per-trattamenti-psichiatrici-intensivi-territoriali/";"2026-09-21";"pagina_gestore";"";"false"
"V76-SRC-026";"https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm";"Fonte V7.6 · https://www.ausl.latina.it/problemi-psicologici/31-azienda/449-dsm";"2026-09-21";"pagina_ufficiale";"";"false"
"V76-SRC-027";"https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"Fonte V7.6 · https://www.aslroma2.it/attachements/j4/com_content.article/Guida-Servizi-DSM-FINALE-21-11-2025.pdf";"2026-09-21";"pdf_testo_e_screenshot";"";"false"
"V76-SRC-028";"https://www.dianova.it/numero-verde-droga/";"Fonte V7.6 · https://www.dianova.it/numero-verde-droga/";"2026-09-21";"pagina_gestore";"";"false"
"V76-SRC-029";"https://www.dianova.it/palombara/";"Fonte V7.6 · https://www.dianova.it/palombara/";"2026-09-21";"pagina_gestore";"";"false"
"V76-SRC-030";"https://www.icaretusa.edu.it/circolare/sportello-dascolto-psicologico/";"Fonte V7.6 · https://www.icaretusa.edu.it/circolare/sportello-dascolto-psicologico/";"2026-09-21";"pagina_ufficiale";"";"false"
"V76-SRC-031";"https://www.icmanuzio.edu.it/sportello-di-ascolto-psicologico-bando-regione-lazio/";"Fonte V7.6 · https://www.icmanuzio.edu.it/sportello-di-ascolto-psicologico-bando-regione-lazio/";"2026-09-21";"indice_ufficiale";"";"false"
"V76-SRC-032";"https://liceoaprilia.edu.it/";"Fonte V7.6 · https://liceoaprilia.edu.it/";"2026-09-21";"indice_ufficiale";"";"false"
"V76-SRC-033";"https://www.istitutocomprensivobassasabina.edu.it/luogo/sede-centrale/";"Fonte V7.6 · https://www.istitutocomprensivobassasabina.edu.it/luogo/sede-centrale/";"2026-09-21";"indice_ufficiale";"";"false"
"V76-SRC-034";"https://www.istitutocomprensivofrosinonequarto.edu.it/pagine/ascoltami--sportello-psicologico-supporto-per-studentesse-e-studenti";"Fonte V7.6 · https://www.istitutocomprensivofrosinonequarto.edu.it/pagine/ascoltami--sportello-psicologico-supporto-per-studentesse-e-studenti";"2026-09-21";"indice_ufficiale";"";"false"
"V76-SRC-035";"https://www.aemmemedica.it/medico/visite-ed-esami/psicologia/";"Fonte V7.6 · https://www.aemmemedica.it/medico/visite-ed-esami/psicologia/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-036";"https://www.airrimedical.it/it/ambulatori-viterbo/";"Fonte V7.6 · https://www.airrimedical.it/it/ambulatori-viterbo/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-037";"https://medicalpontino.it/neuropsicologia-clinica/";"Fonte V7.6 · https://medicalpontino.it/neuropsicologia-clinica/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-038";"https://www.riahsalute.it/portfolio-items/neuropsicologia/";"Fonte V7.6 · https://www.riahsalute.it/portfolio-items/neuropsicologia/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-039";"https://www.riahsalute.it/portfolio-items/fisiatria/";"Fonte V7.6 · https://www.riahsalute.it/portfolio-items/fisiatria/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-040";"https://istitutosantachiara.it/sedi/latina/";"Fonte V7.6 · https://istitutosantachiara.it/sedi/latina/";"2026-09-21";"documentale_web";"";"false"
